gufi,timestamp,airport,minutes_until_pushback,round_dep_stand_est,temperature,wind_direction,wind_speed,wind_gust,cloud_ceiling,visibility,cloud,lightning_prob,precip,aircraft_engine_class,aircraft_type,major_carrier,flight_type,est_push_min,difference
AAL1007.DEN.AUS.220405.1520.0034.TFM,4/6/2022 14:45,KDEN,27,4/6/2022 15:25,37,31,18,25,8,7,CL,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,40,13
AAL1007.DEN.AUS.220405.1520.0034.TFM,4/6/2022 15:00,KDEN,12,4/6/2022 15:25,37,31,18,25,8,7,CL,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,25,13
AAL1007.DEN.AUS.220406.1520.0091.TFM,4/7/2022 14:00,KDEN,75,4/7/2022 15:27,41,33,19,26,8,7,CL,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,88,13
AAL1007.DEN.AUS.220406.1520.0091.TFM,4/7/2022 14:00,KDEN,75,4/7/2022 15:28,41,33,19,26,8,7,CL,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,89,14
AAL1007.DEN.AUS.220406.1520.0091.TFM,4/7/2022 14:15,KDEN,60,4/7/2022 15:28,41,33,19,26,8,7,CL,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,74,14
AAL1007.DEN.AUS.220406.1520.0091.TFM,4/7/2022 14:30,KDEN,45,4/7/2022 15:28,39,34,14,21,8,7,CL,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,59,14
AAL1007.DEN.AUS.220406.1520.0091.TFM,4/7/2022 14:45,KDEN,30,4/7/2022 15:24,39,34,14,21,8,7,CL,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,40,10
AAL1007.DEN.AUS.220406.1520.0091.TFM,4/7/2022 15:00,KDEN,15,4/7/2022 15:24,39,34,14,21,8,7,CL,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,25,10
AAL1007.DEN.AUS.220407.1525.0029.TFM,4/8/2022 14:15,KDEN,81,4/8/2022 15:15,40,19,7,0,8,7,CL,N,FALSE,JET,B738,AAL,NA,61,-20
AAL1007.DEN.AUS.220407.1525.0029.TFM,4/8/2022 14:15,KDEN,81,4/8/2022 15:17,40,19,7,0,8,7,CL,N,FALSE,JET,B738,AAL,NA,62,-19
AAL1007.DEN.AUS.220407.1525.0029.TFM,4/8/2022 14:30,KDEN,66,4/8/2022 15:17,43,19,7,0,8,7,FW,N,FALSE,JET,B738,AAL,NA,47,-19
AAL1007.DEN.AUS.220407.1525.0029.TFM,4/8/2022 14:45,KDEN,51,4/8/2022 15:17,43,19,7,0,8,7,FW,N,FALSE,JET,B738,AAL,NA,32,-19
AAL1007.DEN.AUS.220407.1525.0029.TFM,4/8/2022 15:00,KDEN,36,4/8/2022 15:09,43,19,7,0,8,7,FW,N,FALSE,JET,B738,AAL,NA,9,-27
AAL1007.DEN.AUS.220407.1525.0029.TFM,4/8/2022 15:15,KDEN,21,4/8/2022 15:09,43,19,7,0,8,7,FW,N,FALSE,JET,B738,AAL,NA,-6,-27
AAL1007.DEN.AUS.220408.1520.0059.TFM,4/9/2022 14:00,KDEN,213,4/9/2022 15:20,61,22,15,0,8,7,BK,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,81,-132
AAL1007.DEN.AUS.220408.1520.0059.TFM,4/9/2022 14:00,KDEN,213,4/9/2022 15:21,61,22,15,0,8,7,BK,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,82,-131
AAL1007.DEN.AUS.220408.1520.0059.TFM,4/9/2022 14:15,KDEN,198,4/9/2022 15:21,61,22,15,0,8,7,BK,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,67,-131
AAL1007.DEN.AUS.220408.1520.0059.TFM,4/9/2022 14:30,KDEN,183,4/9/2022 15:21,60,22,12,0,8,7,OV,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,52,-131
AAL1007.DEN.AUS.220408.1520.0059.TFM,4/9/2022 14:45,KDEN,168,4/9/2022 15:14,60,22,12,0,8,7,OV,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,29,-139
AAL1007.DEN.AUS.220408.1520.0059.TFM,4/9/2022 15:00,KDEN,153,4/9/2022 15:14,60,22,12,0,8,7,OV,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,14,-139
AAL1007.DEN.AUS.220408.1520.0059.TFM,4/9/2022 15:15,KDEN,138,4/9/2022 16:07,65,23,12,0,8,7,OV,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,52,-86
AAL1007.DEN.AUS.220408.1520.0059.TFM,4/9/2022 15:30,KDEN,123,4/9/2022 19:00,74,21,10,17,8,7,BK,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,211,88
AAL1007.DEN.AUS.220408.1520.0059.TFM,4/9/2022 15:30,KDEN,123,4/9/2022 17:32,72,22,10,17,8,7,BK,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,122,-1
AAL1007.DEN.AUS.220408.1520.0059.TFM,4/9/2022 15:45,KDEN,108,4/9/2022 17:22,70,22,12,0,8,7,OV,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,97,-11
AAL1007.DEN.AUS.220408.1520.0059.TFM,4/9/2022 16:00,KDEN,93,4/9/2022 17:22,70,22,12,0,8,7,OV,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,82,-11
AAL1007.DEN.AUS.220408.1520.0059.TFM,4/9/2022 16:15,KDEN,78,4/9/2022 17:22,70,22,12,0,8,7,OV,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,67,-11
AAL1007.DEN.AUS.220408.1520.0059.TFM,4/9/2022 16:30,KDEN,63,4/9/2022 17:22,69,22,11,0,8,7,BK,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,52,-11
AAL1007.DEN.AUS.220408.1520.0059.TFM,4/9/2022 16:45,KDEN,48,4/9/2022 17:34,72,23,11,18,8,7,BK,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,49,1
AAL1007.DEN.AUS.220408.1520.0059.TFM,4/9/2022 17:00,KDEN,33,4/9/2022 17:27,69,22,11,0,8,7,BK,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,28,-5
AAL1007.DEN.AUS.220408.1520.0059.TFM,4/9/2022 17:15,KDEN,18,4/9/2022 17:27,69,22,11,0,8,7,BK,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,13,-5
AAL1007.DEN.AUS.220408.1520.0059.TFM,4/9/2022 17:30,KDEN,3,4/9/2022 17:34,72,19,11,17,8,7,OV,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,5,2
AAL1007.DEN.AUS.220409.1520.0071.TFM,4/10/2022 14:00,KDEN,67,4/10/2022 15:22,43,3,7,0,8,7,BK,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,82,15
AAL1007.DEN.AUS.220409.1520.0071.TFM,4/10/2022 14:00,KDEN,67,4/10/2022 15:23,43,3,7,0,8,7,BK,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,84,17
AAL1007.DEN.AUS.220409.1520.0071.TFM,4/10/2022 14:15,KDEN,52,4/10/2022 15:23,43,3,7,0,8,7,BK,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,69,17
AAL1007.DEN.AUS.220409.1520.0071.TFM,4/10/2022 14:30,KDEN,37,4/10/2022 15:23,43,2,6,0,5,7,BK,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,54,17
AAL1007.DEN.AUS.220409.1520.0071.TFM,4/10/2022 14:45,KDEN,22,4/10/2022 15:17,43,2,6,0,5,7,BK,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,33,11
AAL1007.DEN.AUS.220409.1520.0071.TFM,4/10/2022 15:00,KDEN,7,4/10/2022 15:17,43,2,6,0,5,7,BK,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,18,11
AAL1007.DEN.AUS.220410.1525.0030.TFM,4/11/2022 14:15,KDEN,49,4/11/2022 15:17,45,19,12,0,8,7,FW,N,FALSE,JET,B738,AAL,NA,62,13
AAL1007.DEN.AUS.220410.1525.0030.TFM,4/11/2022 14:30,KDEN,34,4/11/2022 15:17,45,24,10,0,8,7,FW,N,FALSE,JET,B738,AAL,NA,47,13
AAL1007.DEN.AUS.220410.1525.0030.TFM,4/11/2022 14:45,KDEN,19,4/11/2022 15:17,45,24,10,0,8,7,FW,N,FALSE,JET,B738,AAL,NA,32,13
AAL1007.DEN.AUS.220410.1525.0030.TFM,4/11/2022 14:45,KDEN,19,4/11/2022 15:23,45,24,10,0,8,7,FW,N,FALSE,JET,B738,AAL,NA,39,20
AAL1007.DEN.AUS.220410.1525.0030.TFM,4/11/2022 15:00,KDEN,4,4/11/2022 15:16,45,24,10,0,8,7,FW,N,FALSE,JET,B738,AAL,NA,17,13
AAL1007.DEN.AUS.220411.1520.0104.TFM,4/12/2022 14:00,KDEN,71,4/12/2022 15:25,57,34,14,22,8,7,FW,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,86,15
AAL1007.DEN.AUS.220411.1520.0104.TFM,4/12/2022 14:15,KDEN,56,4/12/2022 15:25,57,34,14,22,8,7,FW,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,71,15
AAL1007.DEN.AUS.220411.1520.0104.TFM,4/12/2022 14:15,KDEN,56,4/12/2022 15:23,57,34,14,22,8,7,FW,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,68,12
AAL1007.DEN.AUS.220411.1520.0104.TFM,4/12/2022 14:30,KDEN,41,4/12/2022 15:23,48,1,20,29,8,7,SC,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,53,12
AAL1007.DEN.AUS.220411.1520.0104.TFM,4/12/2022 14:45,KDEN,26,4/12/2022 15:16,48,1,20,29,8,7,SC,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,32,6
AAL1007.DEN.AUS.220411.1520.0104.TFM,4/12/2022 15:00,KDEN,11,4/12/2022 15:16,48,1,20,29,8,7,SC,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,17,6
AAL1007.DEN.AUS.220412.1520.0066.TFM,4/13/2022 14:00,KDEN,71,4/13/2022 15:26,27,8,10,0,8,7,SC,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,87,16
AAL1007.DEN.AUS.220412.1520.0066.TFM,4/13/2022 14:15,KDEN,56,4/13/2022 15:26,27,8,10,0,8,7,SC,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,72,16
AAL1007.DEN.AUS.220412.1520.0066.TFM,4/13/2022 14:30,KDEN,41,4/13/2022 15:26,24,12,12,0,8,7,FW,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,57,16
AAL1007.DEN.AUS.220412.1520.0066.TFM,4/13/2022 14:45,KDEN,26,4/13/2022 15:15,24,12,12,0,8,7,FW,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,30,4
AAL1007.DEN.AUS.220412.1520.0066.TFM,4/13/2022 14:45,KDEN,26,4/13/2022 15:20,24,12,12,0,8,7,FW,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,36,10
AAL1007.DEN.AUS.220412.1520.0066.TFM,4/13/2022 15:00,KDEN,11,4/13/2022 15:20,24,12,12,0,8,7,FW,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,21,10
AAL1007.DEN.AUS.220413.1520.0032.TFM,4/14/2022 14:00,KDEN,72,4/14/2022 15:26,39,18,9,0,8,7,CL,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,87,15
AAL1007.DEN.AUS.220413.1520.0032.TFM,4/14/2022 14:15,KDEN,57,4/14/2022 15:26,39,18,9,0,8,7,CL,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,72,15
AAL1007.DEN.AUS.220413.1520.0032.TFM,4/14/2022 14:30,KDEN,42,4/14/2022 15:26,41,17,8,0,8,7,FW,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,57,15
AAL1007.DEN.AUS.220413.1520.0032.TFM,4/14/2022 14:45,KDEN,27,4/14/2022 15:16,41,17,8,0,8,7,FW,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,31,4
AAL1007.DEN.AUS.220413.1520.0032.TFM,4/14/2022 14:45,KDEN,27,4/14/2022 15:17,41,17,8,0,8,7,FW,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,33,6
AAL1007.DEN.AUS.220413.1520.0032.TFM,4/14/2022 15:00,KDEN,12,4/14/2022 15:17,41,17,8,0,8,7,FW,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,18,6
AAL1007.DEN.AUS.220414.1520.0092.TFM,4/15/2022 14:00,KDEN,74,4/15/2022 15:27,54,22,11,0,8,7,SC,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,88,14
AAL1007.DEN.AUS.220414.1520.0092.TFM,4/15/2022 14:00,KDEN,74,4/15/2022 15:26,54,22,11,0,8,7,SC,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,87,13
AAL1007.DEN.AUS.220414.1520.0092.TFM,4/15/2022 14:15,KDEN,59,4/15/2022 15:26,54,22,11,0,8,7,SC,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,72,13
AAL1007.DEN.AUS.220414.1520.0092.TFM,4/15/2022 14:30,KDEN,44,4/15/2022 15:26,55,22,9,0,8,7,FW,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,57,13
AAL1007.DEN.AUS.220414.1520.0092.TFM,4/15/2022 14:45,KDEN,29,4/15/2022 15:19,55,22,9,0,8,7,FW,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,34,5
AAL1007.DEN.AUS.220414.1520.0092.TFM,4/15/2022 15:00,KDEN,14,4/15/2022 15:19,55,22,9,0,8,7,FW,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,19,5
AAL1007.DEN.AUS.220415.1520.0102.TFM,4/16/2022 14:00,KDEN,68,4/16/2022 15:24,35,25,8,0,8,7,BK,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,85,17
AAL1007.DEN.AUS.220415.1520.0102.TFM,4/16/2022 14:15,KDEN,53,4/16/2022 15:24,35,25,8,0,8,7,BK,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,70,17
AAL1007.DEN.AUS.220415.1520.0102.TFM,4/16/2022 14:30,KDEN,38,4/16/2022 15:24,33,27,8,0,8,7,BK,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,55,17
AAL1007.DEN.AUS.220415.1520.0102.TFM,4/16/2022 14:45,KDEN,23,4/16/2022 15:13,33,27,8,0,8,7,BK,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,28,5
AAL1007.DEN.AUS.220415.1520.0102.TFM,4/16/2022 14:45,KDEN,23,4/16/2022 15:17,33,27,8,0,8,7,BK,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,33,10
AAL1007.DEN.AUS.220415.1520.0102.TFM,4/16/2022 15:00,KDEN,8,4/16/2022 15:17,33,27,8,0,8,7,BK,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,18,10
AAL1007.DEN.AUS.220416.1520.0052.TFM,4/17/2022 13:45,KDEN,83,4/17/2022 15:27,48,31,8,0,8,7,CL,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,103,20
AAL1007.DEN.AUS.220416.1520.0052.TFM,4/17/2022 14:00,KDEN,68,4/17/2022 15:27,48,31,8,0,8,7,CL,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,88,20
AAL1007.DEN.AUS.220416.1520.0052.TFM,4/17/2022 14:00,KDEN,68,4/17/2022 15:25,48,31,8,0,8,7,CL,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,86,18
AAL1007.DEN.AUS.220416.1520.0052.TFM,4/17/2022 14:15,KDEN,53,4/17/2022 15:25,48,31,8,0,8,7,CL,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,71,18
AAL1007.DEN.AUS.220416.1520.0052.TFM,4/17/2022 14:30,KDEN,38,4/17/2022 15:25,47,33,4,0,8,7,FW,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,56,18
AAL1007.DEN.AUS.220416.1520.0052.TFM,4/17/2022 14:45,KDEN,23,4/17/2022 15:21,47,33,4,0,8,7,FW,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,37,14
AAL1007.DEN.AUS.220416.1520.0052.TFM,4/17/2022 15:00,KDEN,8,4/17/2022 15:21,47,33,4,0,8,7,FW,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,22,14
AAL1007.DEN.AUS.220417.1520.0046.TFM,4/18/2022 13:45,KDEN,85,4/18/2022 15:25,39,12,8,0,8,7,FW,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,101,16
AAL1007.DEN.AUS.220417.1520.0046.TFM,4/18/2022 14:00,KDEN,70,4/18/2022 15:25,39,12,8,0,8,7,FW,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,86,16
AAL1007.DEN.AUS.220417.1520.0046.TFM,4/18/2022 14:00,KDEN,70,4/18/2022 15:24,39,12,8,0,8,7,FW,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,84,14
AAL1007.DEN.AUS.220417.1520.0046.TFM,4/18/2022 14:15,KDEN,55,4/18/2022 15:24,39,12,8,0,8,7,FW,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,69,14
AAL1007.DEN.AUS.220417.1520.0046.TFM,4/18/2022 14:30,KDEN,40,4/18/2022 15:24,39,12,10,0,8,7,FW,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,54,14
AAL1007.DEN.AUS.220417.1520.0046.TFM,4/18/2022 14:45,KDEN,25,4/18/2022 15:18,39,12,10,0,8,7,FW,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,34,9
AAL1007.DEN.AUS.220417.1520.0046.TFM,4/18/2022 15:00,KDEN,10,4/18/2022 15:18,39,12,10,0,8,7,FW,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,19,9
AAL1007.DEN.AUS.220418.1520.0099.TFM,4/19/2022 13:45,KDEN,87,4/19/2022 15:27,49,22,6,0,8,7,BK,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,103,16
AAL1007.DEN.AUS.220418.1520.0099.TFM,4/19/2022 14:00,KDEN,72,4/19/2022 15:27,49,22,6,0,8,7,BK,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,88,16
AAL1007.DEN.AUS.220418.1520.0099.TFM,4/19/2022 14:15,KDEN,57,4/19/2022 15:27,49,22,6,0,8,7,BK,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,73,16
AAL1007.DEN.AUS.220418.1520.0099.TFM,4/19/2022 14:30,KDEN,42,4/19/2022 15:27,49,22,7,0,8,7,OV,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,58,16
AAL1007.DEN.AUS.220418.1520.0099.TFM,4/19/2022 14:45,KDEN,27,4/19/2022 15:20,49,22,7,0,8,7,OV,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,36,9
AAL1007.DEN.AUS.220418.1520.0099.TFM,4/19/2022 15:00,KDEN,12,4/19/2022 15:20,49,22,7,0,8,7,OV,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,21,9
AAL1007.DEN.AUS.220419.1520.0058.TFM,4/20/2022 13:45,KDEN,88,4/20/2022 15:27,52,9,13,0,8,7,CL,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,102,14
AAL1007.DEN.AUS.220419.1520.0058.TFM,4/20/2022 14:00,KDEN,73,4/20/2022 15:27,52,9,13,0,8,7,CL,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,87,14
AAL1007.DEN.AUS.220419.1520.0058.TFM,4/20/2022 14:15,KDEN,58,4/20/2022 15:27,52,9,13,0,8,7,CL,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,72,14
AAL1007.DEN.AUS.220419.1520.0058.TFM,4/20/2022 14:30,KDEN,43,4/20/2022 15:27,52,10,17,23,8,7,CL,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,57,14
AAL1007.DEN.AUS.220419.1520.0058.TFM,4/20/2022 14:45,KDEN,28,4/20/2022 15:15,52,10,17,23,8,7,CL,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,30,2
AAL1007.DEN.AUS.220419.1520.0058.TFM,4/20/2022 14:45,KDEN,28,4/20/2022 15:21,52,10,17,23,8,7,CL,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,37,9
AAL1007.DEN.AUS.220419.1520.0058.TFM,4/20/2022 15:00,KDEN,13,4/20/2022 15:21,52,10,17,23,8,7,CL,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,22,9
AAL1007.DEN.AUS.220420.1520.0068.TFM,4/21/2022 13:45,KDEN,91,4/21/2022 15:28,56,17,13,0,8,7,BK,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,103,12
AAL1007.DEN.AUS.220420.1520.0068.TFM,4/21/2022 14:00,KDEN,76,4/21/2022 15:28,56,17,13,0,8,7,BK,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,88,12
AAL1007.DEN.AUS.220420.1520.0068.TFM,4/21/2022 14:00,KDEN,76,4/21/2022 15:25,56,17,13,0,8,7,BK,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,86,10
AAL1007.DEN.AUS.220420.1520.0068.TFM,4/21/2022 14:15,KDEN,61,4/21/2022 15:25,56,17,13,0,8,7,BK,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,71,10
AAL1007.DEN.AUS.220420.1520.0068.TFM,4/21/2022 14:30,KDEN,46,4/21/2022 15:25,59,17,21,28,8,7,SC,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,56,10
AAL1007.DEN.AUS.220420.1520.0068.TFM,4/21/2022 14:45,KDEN,31,4/21/2022 15:19,59,17,21,28,8,7,SC,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,34,3
AAL1007.DEN.AUS.220420.1520.0068.TFM,4/21/2022 15:00,KDEN,16,4/21/2022 15:19,59,17,21,28,8,7,SC,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,19,3
AAL1007.DEN.AUS.220420.1520.0068.TFM,4/21/2022 15:15,KDEN,1,4/21/2022 15:24,59,17,21,28,8,7,SC,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,10,9
AAL1007.DEN.AUS.220503.1520.0055.TFM,5/4/2022 13:45,KDEN,82,5/4/2022 15:25,43,13,7,0,2,4,OV,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,100,18
AAL1007.DEN.AUS.220503.1520.0055.TFM,5/4/2022 14:00,KDEN,67,5/4/2022 15:25,43,13,7,0,2,4,OV,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,85,18
AAL1007.DEN.AUS.220503.1520.0055.TFM,5/4/2022 14:00,KDEN,67,5/4/2022 15:23,43,13,7,0,2,4,OV,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,84,17
AAL1007.DEN.AUS.220503.1520.0055.TFM,5/4/2022 14:15,KDEN,52,5/4/2022 15:23,43,13,7,0,2,4,OV,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,69,17
AAL1007.DEN.AUS.220503.1520.0055.TFM,5/4/2022 14:30,KDEN,37,5/4/2022 15:23,45,13,5,0,5,7,OV,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,54,17
AAL1007.DEN.AUS.220503.1520.0055.TFM,5/4/2022 14:45,KDEN,22,5/4/2022 15:17,45,13,5,0,5,7,OV,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,33,11
AAL1007.DEN.AUS.220503.1520.0055.TFM,5/4/2022 15:00,KDEN,7,5/4/2022 15:17,45,13,5,0,5,7,OV,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,18,11
